sentiment,text,clean_text,person_count,org_count,loc_count
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",according gran company plan move production russia although company growing,0,0,0
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopolis plan develop stage area less square meter order host company working computer technology telecommunication statement said,0,0,0
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported,1,1,0
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,0,0,0
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",according company updated strategy year basware target longterm net sale growth range operating profit margin net sale,1,0,0
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,0,4,0
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter componenta net sale doubled eurm eurm period year earlier moved zero pretax profit pretax loss eurm,0,3,0
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",third quarter net sale increased eur operating profit eur,0,1,0
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose eur eur corresponding period representing net sale,0,1,0
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur eur representing net sale,0,1,0
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,1,2,0
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group,0,3,0
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",purchase agreement ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight dollar per month,1,0,0
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum report operating profit increased eur eur net sale totaled eur eur,0,2,0
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain seppl sale increased eur operating profit rose eur eur,0,1,0
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,0,2,0
